Years,Team,Conf,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,,,
2016,Duke ,ACC,121.9,4,100,86,67.7,194,-0.026,248,,,
2013,Michigan ,B10,121.9,1,94,37,64,198,-0.007,197,,,
2016,Kentucky ,SEC,121.8,5,96.6,39,67.4,214,-0.046,288,,,
2016,Indiana ,B10,121.7,6,98.7,59,68.2,159,0,173,,,
2015,Gonzaga ,WCC,121.7,5,93.9,16,64.7,154,0.018,138,,,
2004,Wake Forest ,ACC,121.6,1,99.9,102,70.4,23,-0.019,216,,,
2023,Baylor,B12,121.4,2,101,91,66.7,218,0.046,76,,,
2020,Gonzaga *,WCC,121.3,1,94.4,43,71.9,35,0.05,50,,,
2015,Kentucky ,SEC,121.3,6,84.4,1,62.4,274,0.048,68,,,
2016,Iowa St. ,B12,121.2,7,100.3,91,71.2,49,-0.062,318,,,
2009,Pittsburgh ,BE,121.2,2,92.3,19,65.2,174,-0.012,201,,,
2005,Oklahoma St. ,B12,121.2,4,96.2,50,66.2,160,-0.015,204,,,
2022,Duke ,ACC,121.1,1,95.9,49,67.3,172,-0.01,199,,,
2023,Iowa,B10,121,3,105.2,168,69.9,53,-0.03,260,,,
2022,Purdue ,B10,121,2,98.6,93,66.1,237,0.022,133,,,
2019,Michigan St. ,B10,121,5,90.2,9,66.9,211,0.001,177,,,
2018,Chicago St.,WAC,96.5,315,119.1,348,72.1,26,-0.063,317,,,
2017,Duke ,ACC,121,6,96.8,47,68.3,175,0.014,150,,,
2010,Duke ,ACC,121,1,87.7,5,64.7,229,0.009,145,,,
2007,North Carolina ,ACC,121,3,89.6,4,72.4,8,-0.046,279,,,
2007,Ohio St. ,B10,121,4,91.7,11,64.9,206,0.057,46,,,
2023,Marquette,BE,120.9,4,99.7,69,69.1,103,-0.003,206,,,
2019,Auburn ,SEC,120.9,6,95.9,36,67.9,155,0.008,162,,,
2018,South Carolina St.,MEAC,96.9,310,118.7,347,70.5,64,0.03,102,,,
2017,Wake Forest ,ACC,120.9,7,104.7,176,70.7,57,-0.043,290,,,
2011,Notre Dame ,BE,120.9,3,97.7,66,63.1,277,0.074,24,,,
2008,Kansas ,B12,120.9,2,85.7,1,66.8,109,0.012,138,,,
2003,Georgia,SEC,120.9,1,99.9,124,67.1,159,0.012,136,,,
2017,Marquette ,BE,120.8,8,104.2,165,70.1,75,-0.058,311,,,
2013,Indiana ,B10,120.8,2,91.5,19,66,105,-0.021,239,,,
2004,Duke ,ACC,120.8,2,88.5,3,67.7,94,-0.028,232,,,
2004,Gonzaga ,WCC,120.8,3,95.5,36,66.6,128,0.013,136,,,
2022,Gonzaga ,WCC,120.7,3,89.7,10,72.5,5,-0.039,271,,,
2021,Ohio St. ,B10,120.7,4,97.1,82,66.7,251,-0.012,212,,,
2017,North Carolina ,ACC,120.7,9,92.5,11,71.3,40,0.037,85,,,
2016,Virginia ,ACC,120.6,8,91,7,61.3,348,-0.04,278,,,
2016,Notre Dame ,ACC,120.6,9,104,158,64.6,324,0.054,54,,,
2011,Pittsburgh ,BE,120.6,4,93.5,24,61.8,315,-0.023,236,,,
2008,Texas ,B12,120.6,3,95.5,42,63.9,222,0.044,67,,,
2005,Washington ,P10,120.6,5,98.4,80,71.9,14,0.06,43,,,
2023,Houston,Amer,120.5,5,91.1,6,63.2,347,0.033,94,,,
2022,Iowa ,B10,120.5,4,97.8,80,69.7,53,-0.061,309,,,
2013,Gonzaga ,WCC,120.5,3,92.7,30,63.3,232,0.026,116,,,
2003,Marquette ,CUSA,120.5,2,99.2,109,65.7,219,0.07,30,,,
2012,Florida ,SEC,120.4,3,98,80,64.2,210,-0.043,270,,,
2010,Kansas ,B12,120.4,2,88.5,8,67.2,105,0.038,83,,,
2023,Arizona,P12,120.3,6,98.3,52,72.7,6,0.032,96,,,
2018,Howard,MEAC,99.4,263,118.5,346,69.9,84,-0.039,275,,,
2018,North Florida,ASun,107.7,121,118.4,345,73.6,11,0.074,29,,,
2014,Iowa ,B10,120.2,5,99.8,77,68.6,29,-0.116,347,,,
2012,Indiana ,B10,120.2,4,97.6,72,66.7,92,0.007,155,,,
2023,Xavier,BE,120.1,7,100.6,84,70.9,30,-0.018,236,,,
2021,LSU ,SEC,120.1,5,99.8,124,70.6,70,-0.007,201,,,
2018,Delaware St.,MEAC,90.3,344,118.3,344,64.9,322,-0.094,344,,,
2023,Toledo,MAC,120,8,110.4,277,69.8,61,0.037,88,,,
2022,Kentucky ,SEC,120,5,94.3,36,67.5,150,-0.043,279,,,
2019,Duke ,ACC,120,7,89.3,6,72.1,20,0.018,134,,,
2016,Kansas ,B12,120,10,90.4,3,69,123,0.044,75,,,
2008,Drake ,MVC,120,4,98.5,76,62.9,262,0.011,145,,,
2015,Arizona ,P12,119.9,7,87.5,3,65.8,102,-0.033,258,,,
2017,SMU ,Amer,119.8,10,95,27,63.5,333,0.003,183,,,
2015,Indiana ,B10,119.8,8,106,200,66.6,69,-0.044,284,,,
2023,Missouri,SEC,119.7,9,106.6,197,69.4,87,0.117,9,,,
2019,North Carolina ,ACC,119.7,8,92,15,74.3,6,0.024,116,,,
2018,UMES,MEAC,90.8,343,117.8,343,65.9,286,-0.018,227,,,
2017,Iowa St. ,B12,119.7,11,96.3,42,68.4,170,-0.019,234,,,
2015,Davidson ,A10,119.7,9,104.7,176,66.7,62,0.056,53,,,
2011,Duke ,ACC,119.7,5,91.3,9,68.6,40,0.017,140,,,
2005,Michigan St. ,B10,119.7,6,94,28,66.4,150,-0.013,194,,,
2010,California ,P10,119.6,3,97.4,76,67.1,107,-0.043,282,,,
2009,UCLA ,P10,119.5,3,95.6,44,65.3,171,-0.03,251,,,
2007,Arizona ,P10,119.5,5,100.1,90,68.3,73,-0.009,203,,,
2007,Texas ,B12,119.5,6,100.3,92,67.6,90,-0.008,197,,,
2023,UConn,BE,119.4,10,93.8,12,67.2,188,-0.054,301,,,
2018,Detroit,Horz,102.6,215,116.8,342,72.4,21,-0.011,208,,,
2018,Florida A&M,MEAC,95.6,325,116.8,341,67.1,230,0.04,78,,,
2016,Miami (FL) ,ACC,119.4,11,96.9,42,65.9,284,0.077,33,,,
2015,BYU ,WCC,119.4,10,102.7,139,70.4,5,-0.055,307,,,
2010,Notre Dame ,BE,119.4,4,101.7,153,62.4,302,-0.068,320,,,
2006,Duke ,ACC,119.4,1,91.8,16,69.8,29,0.047,56,,,
2016,SMU,Amer,119.3,12,97.3,45,65.8,288,0.014,140,,,
2014,Kansas ,B12,119.3,6,94.7,22,66.6,83,-0.051,295,,,
2007,Texas A&M ,B12,119.3,7,92.3,14,63.7,247,-0.047,281,,,
2005,Gonzaga ,WCC,119.3,7,101.4,135,67.1,124,0.012,131,,,
2003,Texas ,B12,119.3,3,95.8,58,69.4,67,-0.009,188,,,
2023,Purdue,B10,119.2,11,94.9,23,64.4,326,0.019,133,,,
2022,Kansas ,B12,119.2,6,91.7,17,69.3,65,0.041,88,,,
2018,Southeast Mo. St.,OVC,108.5,107,116.6,340,69.2,116,0.021,121,,,
2018,Houston Baptist,Slnd,98.9,280,116.5,339,73.5,14,-0.092,342,,,
2012,Creighton ,MVC,119.2,5,102.7,166,65.9,125,0.079,20,,,
2010,Baylor ,B12,119.2,5,94.3,43,64.5,235,-0.021,234,,,
2023,Utah St.,MWC,119.1,12,100.9,89,68.6,128,0.017,137,,,
2020,Dayton *,A10,119.1,2,94.1,38,67.6,220,0.002,180,,,
2017,Kentucky ,SEC,119.1,12,91.4,7,72,26,0.006,175,,,
2016,Oregon ,P12,119.1,13,96.4,37,68.1,167,0.041,81,,,
2015,North Carolina ,ACC,119.1,11,95.3,37,69.2,16,-0.026,244,,,
2013,Duke ,ACC,119.1,4,92.1,26,66.7,75,0.033,97,,,
2006,Gonzaga ,WCC,119.1,2,103.5,174,66.3,121,0.036,79,,,
2004,NC State ,ACC,119.1,4,95.1,33,62.1,292,-0.072,298,,,
2021,Villanova ,BE,119,6,96,66,64.2,336,-0.007,200,,,
2015,Iowa St. ,B12,119,12,97.5,59,69.6,10,0.005,173,,,
2019,Iowa St. ,B12,118.9,9,96.8,47,67.7,171,-0.063,316,,,
2016,Baylor ,B12,118.9,14,99.8,84,66.6,252,-0.012,211,,,
2014,Louisville ,Amer,118.9,7,88.5,5,67.2,60,-0.045,278,,,
2014,Oregon ,P12,118.9,8,99.9,79,67.5,50,-0.037,262,,,
2014,Iowa St. ,B12,118.9,9,97.8,55,70.2,12,0.064,42,,,
2014,Baylor ,B12,118.9,10,99.5,70,61.3,319,0.012,157,,,
2011,Kansas ,B12,118.9,6,90.6,6,68.4,42,0.06,38,,,
2004,Saint Joseph's ,A10,118.9,5,91.2,12,66.1,148,0.06,42,,,
2008,Oregon ,P10,118.8,5,103.1,160,65.8,144,-0.035,259,,,
2005,Louisville ,CUSA,118.8,8,93,20,66.3,154,0.045,67,,,
2005,Alabama ,SEC,118.8,9,98.3,78,62.8,292,0.033,92,,,
2023,Miami (FL),ACC,118.7,13,103.3,126,69.1,104,0.015,144,,,
2017,Wichita St. ,MVC,118.7,13,92.6,13,68,191,-0.021,238,,,
2017,Saint Mary's (CA) ,WCC,118.7,14,95,26,60.2,350,0.03,99,,,
2014,UCLA ,P12,118.7,11,96.1,37,68.4,33,-0.019,224,,,
2022,Arizona ,P12,118.6,7,92.6,21,72.2,9,0.048,75,,,
2014,Iona ,MAAC,118.6,12,108.5,237,68.6,28,-0.024,236,,,
2014,Michigan St. ,B10,118.6,13,94.7,21,64.4,188,-0.003,192,,,
2011,Oakland ,Sum,118.6,7,105.3,221,71.1,9,0.021,129,,,
2010,Syracuse ,BE,118.5,6,90.9,14,68.7,59,-0.008,191,,,
2004,Oklahoma St. ,B12,118.5,6,91.1,11,64.8,203,0.029,92,,,
2004,Arizona ,P10,118.5,7,102.3,151,73,6,-0.072,296,,,
2017,Arizona ,P12,118.4,15,95.1,29,66,277,0.046,66,,,
2017,Gonzaga ,WCC,118.4,16,86.3,1,70.1,76,0.02,133,,,
2021,Houston ,Amer,118.3,7,89.6,9,64.4,332,0.018,133,,,
2014,Kentucky ,SEC,118.3,14,95.8,32,64,217,-0.025,240,,,
2013,Creighton ,MVC,118.3,5,96.5,66,63.8,211,-0.009,208,,,
2010,Maryland ,ACC,118.3,7,95.9,57,68.7,53,-0.023,241,,,
2009,Oklahoma ,B12,118.3,4,93.7,33,66.6,109,0.018,120,,,
2007,Oregon ,P10,118.3,8,97.6,54,66,158,0.031,100,,,
2020,Creighton *,BE,118.2,3,97.3,78,68.3,178,0.072,23,,,
2017,Oregon ,P12,118.2,17,93.2,17,67,234,0.034,88,,,
2009,Arizona St. ,P10,118.2,5,95.2,42,59.1,334,-0.018,223,,,
2020,LSU *,SEC,118.1,4,102.4,179,70,84,-0.02,237,,,
2019,Wofford ,SC,118.1,10,97.4,56,65.7,278,0.046,68,,,
2019,Virginia Tech ,ACC,118.1,11,94,20,63.7,334,-0.005,195,,,
2018,Youngstown St.,Horz,101.4,242,115.9,338,71.1,50,-0.01,205,,,
2017,Notre Dame ,ACC,118.1,18,98.4,61,67,236,0.024,120,,,
2012,Ohio St. ,B10,118.1,6,88.1,4,66.9,88,-0.05,287,,,
2007,Notre Dame ,BE,118.1,9,98.1,62,70.7,28,-0.018,223,,,
2007,Pittsburgh ,BE,118.1,10,95.2,33,62.2,298,0.033,93,,,
2023,Kentucky,SEC,118,14,99.5,67,66,263,-0.003,205,,,
2022,Baylor ,B12,118,8,91,13,67.4,163,0.004,163,,,
2021,Illinois ,B10,118,8,88.9,7,70.5,79,0.022,128,,,
2018,Alabama St.,SWAC,95.8,322,115.7,337,68.8,145,-0.018,228,,,
2017,UNCW ,CAA,118,19,105.5,193,70.3,67,0.039,76,,,
2016,Butler ,BE,118,15,100.7,97,67.9,178,-0.009,201,,,
2008,Memphis ,CUSA,118,6,86.5,2,68.1,76,0.012,141,,,
2008,UCLA ,P10,118,7,88.1,5,64.1,209,0.047,62,,,
2007,Butler ,Horz,118,11,96.5,47,58.1,331,0.016,145,,,
2016,Oklahoma ,B12,117.9,16,94.1,17,69.8,88,0.082,29,,,
2014,Tennessee ,SEC,117.9,15,94.2,19,61.6,313,-0.099,341,,,
2014,Oklahoma ,B12,117.9,16,100,82,69.6,17,-0.022,232,,,
2013,Colorado St. ,MWC,117.9,6,98.8,104,63.8,210,0.02,133,,,
2006,Florida ,SEC,117.9,3,89.7,7,66.9,102,-0.011,194,,,
2014,Wichita St. ,MVC,117.8,17,92.4,11,63.5,243,-0.009,205,,,
2011,Kentucky ,SEC,117.8,8,92,16,65,184,-0.044,285,,,
2006,Boston College ,ACC,117.8,4,99.2,99,61.5,301,0.024,106,,,
2006,UConn ,BE,117.8,5,92.3,18,68.7,49,0.077,26,,,
2004,Illinois ,B10,117.8,8,95.7,39,63.5,252,0.055,47,,,
2004,UConn ,BE,117.8,9,89.5,6,68.2,75,0.012,140,,,
2019,LSU ,SEC,117.7,12,97.5,59,70,67,0.063,36,,,
2019,Mississippi St. ,SEC,117.7,13,97.6,61,67.8,161,-0.038,270,,,
2017,Butler ,BE,117.7,20,97,49,65.9,278,0.002,185,,,
2013,Louisville ,BE,117.7,7,84.8,1,65.8,116,-0.016,230,,,
2012,Syracuse ,BE,117.7,7,91.7,16,64.4,202,0.06,37,,,
2012,Duke ,ACC,117.7,8,98,79,66.4,108,0.057,45,,,
2011,Colorado ,B12,117.7,9,104.3,191,66.8,92,-0.027,247,,,
2011,Washington ,P10,117.7,10,96,49,69.9,21,-0.099,334,,,
2009,Arizona ,P10,117.7,6,101.8,147,64.9,187,0.018,119,,,
2003,Boston College,BE,117.7,4,104.4,203,68.2,112,0.034,85,,,
2023,West Virginia,B12,117.6,15,98.3,53,69.1,101,-0.058,309,,,
2021,Michigan ,B10,117.6,9,87.9,4,66.6,256,0.007,156,,,
2019,Kentucky ,SEC,117.6,14,90.1,8,65.6,284,0.033,98,,,
2023,Texas,B12,117.5,16,94.4,19,69.6,69,0.012,154,,,
2022,Villanova ,BE,117.5,9,92.9,23,62.3,347,0.06,58,,,
2013,Iowa St. ,B12,117.5,8,99.8,123,68.3,30,-0.046,288,,,
2011,BYU ,MWC,117.5,11,94.3,29,70.2,17,0.055,46,,,
2010,Ohio St. ,B10,117.5,8,92.5,26,64.6,232,0.007,152,,,
2009,Duke ,ACC,117.5,7,93.2,28,66.3,127,0.053,47,,,
2009,Gonzaga ,WCC,117.5,8,93,24,67.1,97,0.003,156,,,
2006,Texas ,B12,117.5,6,91.7,15,63.9,233,0.039,73,,,
2019,Iowa ,B10,117.4,15,101.3,111,69.5,84,0.05,63,,,
2011,Arizona ,P10,117.4,12,97.8,67,65.3,170,0.064,32,,,
2010,Cornell ,Ivy,117.4,9,101.5,149,63.9,261,0.068,36,,,
2004,North Carolina ,ACC,117.4,10,94.1,23,70.9,16,-0.091,311,,,
2023,Penn St.,B10,117.3,17,103.1,123,64.4,325,-0.008,215,,,
2020,Iowa *,B10,117.3,5,98.6,97,70.2,77,0.005,172,,,
2017,Virginia Tech ,ACC,117.3,21,103.5,156,68.4,167,0.053,51,,,
2016,Saint Mary's (CA) ,WCC,117.3,17,100.6,96,61.8,347,0.025,107,,,
2010,BYU ,MWC,117.3,10,94,37,71.1,15,0.012,130,,,
2008,Xavier ,A10,117.3,8,95.2,39,63.8,225,0.054,49,,,
2007,Xavier ,A10,117.3,12,99.2,78,66.2,151,-0.047,280,,,
2007,Boston College ,ACC,117.3,13,101.1,107,64.3,226,0.026,118,,,
2006,Notre Dame ,BE,117.3,7,101.4,136,64.2,222,-0.145,333,,,
2023,Providence,BE,117.2,18,102.4,107,67,196,0.001,193,,,
2021,Oregon ,P12,117.2,10,95.4,55,67.2,226,0.049,72,,,
2017,Louisville ,ACC,117.2,22,91.7,8,67.9,194,-0.023,244,,,
2013,Florida ,SEC,117.2,9,86,3,61.9,280,-0.089,332,,,
2011,Saint Mary's (CA) ,WCC,117.2,13,101.7,127,64.9,190,-0.027,246,,,
2010,Villanova ,BE,117.2,11,96,59,71.2,12,0.025,103,,,
2010,West Virginia ,BE,117.2,12,91.7,21,62.6,296,0.057,45,,,
2007,Nevada ,WAC,117.2,14,101.2,109,66.3,139,0.03,105,,,
2004,Michigan St. ,B10,117.2,11,101.5,129,64,232,-0.014,198,,,
2020,Oregon *,P12,117.1,6,97.1,76,65,319,0.023,120,,,
2017,Baylor ,B12,117.1,23,92.9,16,63.7,328,0.023,126,,,
2016,Xavier ,BE,117.1,18,94.6,22,71.9,32,0.047,68,,,
2012,Belmont ,ASun,117.1,9,100.1,121,67.2,72,-0.017,214,,,
2009,Marquette ,BE,117.1,9,96.1,52,67.5,78,-0.014,203,,,
2018,Presbyterian,BSth,97.8,303,115.5,336,63.4,342,0.062,51,,,
2017,Purdue ,B10,117,24,93.9,23,69.1,113,0.016,142,,,
2009,Syracuse ,BE,117,10,94.8,39,69.7,29,0.024,106,,,
2008,Davidson ,SC,117,9,93.4,24,66.2,133,-0.036,260,,,
2007,Kentucky ,SEC,117,15,95.3,34,65.8,165,-0.029,254,,,
2021,UCLA ,P12,116.9,11,94.5,46,63.8,341,0.028,110,,,
2018,William & Mary,CAA,115.3,27,115.2,335,70,78,0.098,11,,,
2017,Florida ,SEC,116.9,25,89.5,5,69,117,-0.041,286,,,
2016,Purdue ,B10,116.9,19,93.1,11,67.9,182,-0.046,286,,,
2014,Pittsburgh ,ACC,116.9,18,95,25,62.2,295,-0.038,264,,,
2007,Georgia Tech ,ACC,116.9,16,97.3,51,67.2,106,-0.067,309,,,
2004,Florida ,SEC,116.9,12,98.6,78,65.9,162,-0.023,222,,,
2022,Houston ,Amer,116.8,10,89.1,8,63.6,338,-0.012,203,,,
2022,Davidson ,A10,116.8,11,101.9,155,64.7,307,-0.02,221,,,
2021,West Virginia ,B12,116.8,12,96.3,70,69.2,122,-0.056,294,,,
2016,Arizona ,P12,116.8,20,95.8,29,68.3,154,-0.038,272,,,
2013,NC State ,ACC,116.8,10,99.8,122,66.8,69,-0.032,259,,,
2011,Boston College ,ACC,116.8,14,105.5,225,62.8,286,0.048,61,,,
2011,Northwestern ,B10,116.8,15,102.7,152,62.8,283,0.008,157,,,
2010,Georgetown ,BE,116.8,13,94.2,42,65.8,182,-0.035,266,,,
2009,California ,P10,116.8,11,99.4,96,66,140,0.001,162,,,
2023,New Mexico,MWC,116.7,19,102.4,108,71.4,23,-0.036,272,,,
2018,Arkansas St.,SB,104.5,182,115.1,333,69.5,99,0.017,131,,,
2016,Houston ,Amer,116.7,21,104.9,179,66.3,259,-0.006,192,,,
2009,Utah St. ,WAC,116.7,12,101.6,143,60,327,0.046,58,,,
2007,BYU ,MWC,116.7,17,100.6,97,67.6,95,0.001,176,,,
2005,Arizona ,P10,116.7,10,94.5,30,68.6,75,0.027,104,,,
2018,UIW,Slnd,93.5,341,115.1,334,69.7,95,-0.006,193,,,
2015,Baylor ,B12,116.6,13,94.5,23,61.5,307,-0.035,268,,,
2015,Michigan St. ,B10,116.6,14,94.9,27,63.1,248,-0.017,222,,,
2015,Xavier ,BE,116.6,15,97.1,56,65,137,-0.062,317,,,
2011,Vanderbilt ,SEC,116.6,16,99.2,87,66.1,125,-0.05,296,,,
2009,Missouri ,B12,116.6,13,91.8,17,70.9,15,0.031,87,,,
2007,VCU ,CAA,116.6,18,102,124,65.5,178,0.002,174,,,
2006,Tennessee ,SEC,116.6,8,97.2,72,71.1,13,0.012,140,,,
2019,Villanova ,BE,116.5,16,99.2,81,63.6,335,0.044,73,,,
2017,West Virginia ,B12,116.5,26,89.4,4,69.9,84,-0.043,289,,,
2015,Murray St. ,OVC,116.5,16,104.5,173,66.8,58,0.076,28,,,
2014,Florida ,SEC,116.5,19,88,3,61.3,318,0.053,68,,,
2014,Arizona ,P12,116.5,20,86.4,1,62.8,272,0.014,151,,,
2010,Saint Mary's (CA) ,WCC,116.5,14,97.9,85,66.2,158,0.038,82,,,
2009,Baylor ,B12,116.5,14,100.1,115,65.8,152,-0.017,219,,,
2008,Pittsburgh ,BE,116.5,10,96.6,54,63.9,221,0.027,104,,,
2008,IUPUI,Sum,116.5,11,104.8,192,60.9,312,-0.019,218,,,
2007,West Virginia ,BE,116.5,19,98.5,64,63.2,270,0.021,126,,,
2007,Air Force ,MWC,116.5,20,96.3,45,57.5,332,-0.021,232,,,
2006,Georgetown ,BE,116.5,9,95.2,46,57.8,329,-0.026,226,,,
2003,Kentucky ,SEC,116.5,5,87.4,4,67.7,132,0.051,53,,,
2003,Florida ,SEC,116.5,6,94.4,36,65,256,0.008,140,,,
2003,Notre Dame ,BE,116.5,7,96.2,60,69.2,74,0.009,139,,,
2019,Hofstra ,CAA,116.4,17,109,262,67.5,181,0.017,139,,,
2015,Utah ,P12,116.4,17,89.2,6,60.5,328,-0.054,301,,,
2009,Oklahoma St. ,B12,116.4,15,98.1,73,69.3,36,-0.003,169,,,
2009,Clemson ,ACC,116.4,16,96.7,61,67.9,67,-0.024,236,,,
2008,Arizona ,P10,116.4,12,97.3,63,63.5,239,-0.079,326,,,
2005,Florida ,SEC,116.4,11,92.5,16,65.2,207,-0.027,239,,,
2003,Dayton ,A10,116.4,8,101.9,161,64.4,270,0.084,14,,,
2021,Colorado ,P12,116.3,13,91.2,23,66.1,276,-0.025,237,,,
2020,BYU *,WCC,116.3,7,95.6,60,69.5,108,-0.028,259,,,
2018,The Citadel,SC,101.6,238,114.9,332,77.2,2,0.062,48,,,
2018,Alabama A&M,SWAC,86.6,350,114.9,331,65.8,293,-0.04,279,,,
2016,Gonzaga ,WCC,116.3,22,95.5,27,67.3,218,-0.038,273,,,
2016,Oakland,Horz,116.3,23,106.7,208,73.8,9,-0.058,312,,,
2015,UNI ,MVC,116.3,18,95.3,36,58.2,348,0.018,140,,,
2014,Villanova ,BE,116.3,21,92.6,12,66,103,0.075,30,,,
2008,Duke ,ACC,116.3,13,89.9,7,71.5,13,-0.006,189,,,
2006,Michigan St. ,B10,116.3,10,100.3,119,64.2,223,0.004,161,,,
2006,Villanova ,BE,116.3,11,91.7,14,65.6,143,0.08,20,,,
2018,Omaha,Sum,104.1,187,114.7,330,69.8,87,0.012,143,,,
2016,Maryland ,B10,116.2,24,95.9,32,67.4,213,0.016,129,,,
2012,Purdue ,B10,116.2,10,99.9,114,64.3,204,-0.003,179,,,
2008,Butler ,Horz,116.2,14,96.2,47,59.5,328,0.002,161,,,
2008,Tennessee ,SEC,116.2,15,94,28,70.7,20,0.11,4,,,
2007,Florida St. ,ACC,116.2,21,98.4,63,66.2,147,-0.007,193,,,
2023,Alabama,SEC,116.1,20,90.1,3,73.3,2,0.077,36,,,
2023,Ohio St.,B10,116.1,21,103.2,125,66.4,230,-0.158,363,,,
2017,Indiana ,B10,116.1,27,101.6,104,68.4,168,-0.09,341,,,
2017,Arkansas ,SEC,116.1,28,99.8,76,69.7,87,0.086,9,,,
2016,Iowa ,B10,116.1,25,95.9,30,68.8,131,-0.071,327,,,
2013,Saint Mary's (CA) ,WCC,116.1,11,96.8,73,62.9,246,0.023,122,,,
2012,Wichita St. ,MVC,116.1,11,93.8,26,65.7,134,-0.017,213,,,
2012,North Carolina ,ACC,116.1,12,90.7,11,70.9,10,0.016,134,,,
2010,Kansas St. ,B12,116.1,15,90.6,12,69.4,36,-0.008,192,,,
2006,West Virginia ,BE,116.1,12,96.6,62,62.5,276,-0.046,278,,,
2004,Cincinnati ,CUSA,116.1,13,94.5,26,66.7,127,0.003,163,,,
2018,UMass Lowell,AE,103.6,194,114.6,329,71.6,36,0.002,171,,,
2012,Baylor ,B12,116,13,94.7,34,65.6,138,0.059,40,,,
2010,Utah St. ,WAC,116,16,96.1,62,59.8,336,-0.026,244,,,
2010,Providence,BE,116,17,107.3,266,73.3,5,-0.111,345,,,
2009,UConn ,BE,116,17,86.8,3,67.1,96,0.024,107,,,
2005,Utah St. ,BW,116,12,96.4,52,61.1,311,-0.094,320,,,
2004,Wisconsin ,B10,116,14,90.3,8,60.7,310,-0.001,174,,,
2022,UCLA ,P12,115.9,12,91.7,16,65.2,277,-0.029,245,,,
2014,Oklahoma St. ,B12,115.9,22,95,24,67.2,59,-0.11,343,,,
2011,South Dakota St.,Sum,115.9,17,110.5,305,67.2,71,-0.084,327,,,
2011,Purdue ,B10,115.9,18,91.1,8,66,136,0.007,161,,,
2008,Florida ,SEC,115.9,16,100.5,104,65,176,-0.042,273,,,
2007,Tennessee ,SEC,115.9,22,97.6,55,71.3,19,0.035,88,,,
2007,Bradley ,MVC,115.9,23,101.5,115,67.8,86,0.026,116,,,
